date,total_case,temp
2019-01-07,30,27.282259312241813
2019-01-14,18,27.17741205264305
2019-01-21,18,26.849482188627054
2019-01-28,23,27.27008259298104
2019-02-04,28,27.90342487626752
2019-02-11,29,27.377460768624243
2019-02-18,20,28.465472839427644
2019-02-25,17,27.79522896711431
2019-03-03,20,28.004460724273287
2019-03-10,22,29.06603986687833
2019-03-17,22,29.377021846616167
2019-03-24,24,28.66671437159962
2019-03-31,21,29.41711441752504
2019-04-07,15,29.87047404569624
2019-04-14,18,30.859489541274687
2019-04-21,19,30.31168207399009
2019-04-28,19,30.178782752990507
2019-05-05,14,30.392621256900192
2019-05-12,17,29.464486615711746
2019-05-19,21,29.19910671683356
2019-05-26,15,29.617108052472823
2019-06-02,29,28.778532741440117
2019-06-09,43,29.71948685783635
2019-06-16,58,28.690433468519792
2019-06-23,70,28.99889806759353
2019-06-30,70,29.476211525053944
2019-07-07,65,28.24791111956651
2019-07-14,104,28.747844055975683
2019-07-21,80,28.59322869151828
2019-07-28,80,29.810506953186
2019-08-04,76,29.17454716845243
2019-08-11,76,28.972431066155565
2019-08-18,72,28.79001945504785
2019-08-25,43,28.61881723160807
2019-09-01,45,29.29732119065984
2019-09-08,40,28.261151185752308
2019-09-15,38,28.613828589387936
2019-09-22,56,28.73063231767108
2019-09-29,55,28.32552152712467
2019-10-06,53,27.931520420447583
2019-10-13,62,27.461737005457035
2019-10-20,79,27.263879515678138
2019-10-27,50,27.24832314920857
2019-11-03,54,26.75592293971105
2019-11-10,49,26.627352738208828
2019-11-17,56,26.406192080703686
2019-11-24,32,24.75161955788974
2019-12-01,29,25.035945563172174
2019-12-08,41,25.28996287016986
2019-12-15,20,26.00066177817772
2019-12-22,10,26.385020883912485
2019-12-29,23,26.933123141023497
2020-01-07,29,26.97227654519369
2020-01-14,21,26.345550862840017
2020-01-21,18,26.9369889375746
2020-01-28,23,27.00669170582182
2020-02-04,7,25.948314209403023
2020-02-11,15,27.11500402679704
2020-02-18,14,26.81088735586436
2020-02-25,8,27.239424927731346
2020-03-03,7,28.339685887974507
2020-03-10,6,29.062546639195396
2020-03-17,4,27.73977028368679
2020-04-07,3,29.42988728361941
2020-04-14,3,29.591809879700342
2020-04-21,2,27.938386555592388
2020-05-05,2,29.695493945567154
2020-05-12,3,29.328488733113492
2020-05-19,4,29.25345029208486
2020-05-26,5,28.476930089161613
2020-06-02,6,27.953018716160013
2020-06-09,6,28.15173413101788
2020-06-16,6,27.84944006207104
2020-06-23,13,27.658742678587164
2020-06-30,14,28.00057380460701
2020-07-07,8,27.713359695239436
2020-07-14,27,28.76275607371147
2020-07-21,32,28.50009586362819
2020-07-28,43,28.033280614621464
2020-08-04,28,28.394148488023117
2020-08-11,26,27.697377068061865
2020-08-18,21,27.676181845812373
2020-08-25,15,28.406527838733783
2020-09-01,25,27.93349495742135
2020-09-08,22,27.383191049649216
2020-09-15,19,27.455227609476516
2020-09-22,17,27.730009109457217
2020-09-29,4,27.75270515451306
2020-10-06,13,27.11804543039577
2020-10-13,9,27.5505373996733
2020-10-20,11,26.72097516181637
2020-10-27,15,27.472992575940733
2020-11-03,8,26.60458406964957
2020-11-10,3,27.056411460135504
2020-12-29,36,26.442933039897035
2021-01-07,1,24.8939618324864
2021-01-14,1,25.50165693172989
2021-01-21,2,26.22494916958501
2021-01-28,3,26.129602763265925
2021-02-04,2,26.70133255005399
2021-02-11,4,26.546067601699587
2021-02-18,3,26.128870648887062
2021-03-03,2,27.19957022114272
2021-03-10,2,27.277093996577253
2021-03-17,3,27.642430193131183
2021-03-31,1,28.174242917930552
2021-04-07,1,27.63030050262753
2021-04-14,1,28.600090009894696
2021-04-21,2,27.84202715164593
2021-04-28,2,28.06102596661917
2021-05-12,3,28.91852812327736
2021-05-19,3,28.317892485136323
2021-05-26,2,28.58369502223785
2021-06-02,4,28.045815788942203
2021-06-09,2,28.146337147702297
2021-06-16,5,28.11030727149592
2021-06-30,2,28.37482297790685
2021-07-28,3,28.12749947465596
2021-08-04,2,28.90741326252985
2021-08-11,2,27.0710796339354
2021-10-06,1,28.674853726398062
2021-10-20,1,27.752198543129133
2021-11-03,1,27.378387087969003
2021-11-10,2,26.878692919118595
2021-11-24,1,25.826485645415488
2021-12-01,1,25.90537310752248
2021-12-08,2,26.70687197860841
2021-12-15,1,25.99413434805347
2021-12-22,1,27.483662664888392
2021-12-29,6,24.746636854978128
2022-01-14,4,26.39944159550515
2022-01-21,2,27.484550882458727
2022-01-28,2,27.635945146115915
2022-02-04,1,26.5666097152605
2022-02-11,1,26.54166494113412
2022-02-18,1,27.7665412121018
2022-02-25,2,25.988414726010337
2022-03-03,1,27.124166095949303
2022-03-10,1,28.276267624252316
2022-03-17,2,28.514086547375378
2022-03-31,1,27.42839239026387
2022-04-07,5,28.87304032914685
2022-04-14,1,29.51385431368612
2022-04-21,3,29.573841945892596
2022-04-28,6,28.32083795592872
2022-05-05,3,28.208791197794877
2022-05-12,5,28.79373522026136
2022-05-19,2,29.19553646523762
2022-05-26,4,28.029720447804262
2022-06-02,8,28.4313943163387
2022-06-09,14,28.324449929826304
2022-06-16,16,27.993685893692824
2022-06-23,21,28.62278103717848
2022-06-30,24,28.556955806781996
2022-07-07,23,27.48209861107981
2022-07-14,7,28.352405806819128
2022-07-21,14,28.4029473983014
2022-07-28,17,27.774857450751103
2022-08-04,16,28.64714086679192
2022-08-11,18,28.218144583309684
2022-08-18,19,28.38142168220191
2022-08-25,18,28.029032673880977
2022-09-01,12,28.42797619047619
2022-09-08,21,28.32398127235084
2022-09-15,30,28.45357142857143
2022-09-22,18,28.39761904761905
2022-09-29,25,27.27863330630124
2022-10-06,25,27.01049355084969
2022-10-13,38,27.841439292402477
2022-10-20,25,27.312353136119132
2022-10-27,24,27.020595014743694
2022-11-03,21,26.83309074678011
2022-11-10,29,27.235820863393325
2022-11-17,22,27.46178910169325
2022-11-24,17,27.54237273998872
2022-12-01,19,25.712874076982
2022-12-08,20,24.8320578262536
2022-12-15,16,24.745573061581688
2022-12-22,14,26.074664869641293
2022-12-29,4,26.31820400580585
2023-01-07,23,26.084875556228585
2023-01-14,16,26.725376397185528
2023-01-21,32,25.527479773392116
2023-01-28,22,25.03043066478342
2023-02-04,27,27.19280775173581
2023-02-11,25,27.246412225890733
2023-02-18,32,27.210984035081378
2023-02-25,35,26.10976949026935
2023-03-03,30,26.86799124565004
2023-03-10,42,27.121153979755103
2023-03-17,21,28.91840349465824
2023-03-24,44,29.32336038156169
2023-03-31,22,28.786552841404564
2023-04-07,34,30.114216513114645
2023-04-14,31,30.199958721323743
2023-04-21,31,29.911941777051613
2023-04-28,25,28.99635570645657
2023-05-05,14,30.15299342852571
2023-05-12,24,29.60297320872798
2023-05-19,22,29.816187106255736
2023-05-26,19,29.028028581901623
2023-06-02,24,28.75038972640783
2023-06-09,11,28.604070070610568
2023-06-16,34,28.955967726206776
2023-06-23,32,28.7012685334166
2023-06-30,17,29.32909561934323
2023-07-07,37,28.399272849366504
2023-07-14,48,28.974774366921597
2023-07-21,34,28.810327570606063
2023-07-28,67,28.460454425979044
2023-08-04,42,27.799683918643563
2023-08-11,56,28.260590503301504
2023-08-18,56,27.90499134820612
2023-08-25,36,28.313652668410672
2023-09-01,53,28.2781098532107
2023-09-08,56,28.117337671427222
2023-09-15,59,27.96870141484905
2023-09-22,46,27.506798255128636
2023-09-29,51,28.080660749662343
2023-10-06,50,28.399735078811425
2023-10-13,52,27.890346915478272
2023-10-20,47,27.96141245225628
2023-10-27,58,27.386492721308876
2023-11-03,54,28.020390767776867
2023-11-10,49,27.12880220681052
2023-11-17,37,25.22002646467711
2023-11-24,34,25.31899555169833
2023-12-01,28,26.86372147761429
2023-12-08,24,26.813489776754164
2023-12-15,18,27.11665425081679
2023-12-22,11,25.60450235926955
2023-12-29,22,26.36180602139557
