date,rain
2019-01-07,7.777040816326531
2019-01-14,4.164285714285714
2019-01-21,0.6214285714285713
2019-01-28,5.496281179138322
2019-02-04,0.07802721088435374
2019-02-11,3.1357142857142857
2019-02-18,0.5589285714285714
2019-02-25,0.07142857142857142
2019-03-03,0.0036904761904761906
2019-03-10,0.03238095238095238
2019-03-17,0.012499999999999999
2019-03-24,6.64547619047619
2019-03-31,2.8075
2019-04-07,2.4013605442176873
2019-04-14,0.40166666666666667
2019-04-21,1.7955102040816324
2019-04-28,7.371428571428572
2019-05-05,1.4839874411302982
2019-05-12,13.534693877551021
2019-05-19,4.681632653061224
2019-05-26,5.80843537414966
2019-06-02,18.93700680272109
2019-06-09,5.9918367346938775
2019-06-16,6.089795918367348
2019-06-23,7.871428571428572
2019-06-30,1.2130298273155415
2019-07-07,8.438775510204081
2019-07-14,4.57817896389325
2019-07-21,6.459183673469389
2019-07-28,0.14065934065934066
2019-08-04,2.56043956043956
2019-08-11,8.97820512820513
2019-08-18,9.704212454212454
2019-08-25,2.79010989010989
2019-09-01,6.944139194139194
2019-09-08,7.936263736263736
2019-09-15,3.9890109890109886
2019-09-22,4.887912087912087
2019-09-29,4.8901098901098905
2019-10-06,6.607938252223967
2019-10-13,7.748214285714285
2019-10-20,4.753571428571428
2019-10-27,8.364285714285714
2019-11-03,16.975
2019-11-10,6.580357142857143
2019-11-17,13.021428571428572
2019-11-24,37.74464285714286
2019-12-01,8.691071428571428
2019-12-08,6.832142857142857
2019-12-15,21.5125
2019-12-22,0.03035714285714286
2019-12-29,9.757465277777778
2020-01-07,0.8517857142857144
2020-01-14,3.2607142857142857
2020-01-21,0.5625000000000001
2020-01-28,1.194642857142857
2020-02-04,9.25
2020-02-11,7.980357142857144
2020-02-18,2.4499999999999997
2020-02-25,0.019642857142857146
2020-03-03,0.7267857142857144
2020-03-10,0.05892857142857143
2020-03-17,2.1035714285714286
2020-03-24,0.07857142857142858
2020-03-31,2.064285714285714
2020-04-07,0.017857142857142856
2020-04-14,1.3535714285714284
2020-04-21,8.273214285714285
2020-04-28,4.255357142857143
2020-05-05,1.7321428571428572
2020-05-12,4.478571428571429
2020-05-19,6.046428571428572
2020-05-26,7.955357142857143
2020-06-02,8.35357142857143
2020-06-09,12.674999999999999
2020-06-16,11.255357142857145
2020-06-23,5.812261904761905
2020-06-30,6.921904761904762
2020-07-07,13.203809523809523
2020-07-14,4.700952380952381
2020-07-21,5.7542857142857144
2020-07-28,5.675918367346938
2020-08-04,4.72202380952381
2020-08-11,13.490119047619048
2020-08-18,13.635714285714284
2020-08-25,7.551785714285714
2020-09-01,9.85
2020-09-08,13.958928571428572
2020-09-15,11.053571428571429
2020-09-22,5.954166666666667
2020-09-29,12.680357142857144
2020-10-06,8.243214285714286
2020-10-13,2.92952380952381
2020-10-20,8.861632653061225
2020-10-27,4.0653061224489795
2020-11-03,5.778335949764521
2020-11-10,6.145525902668759
2020-11-17,10.154160125588698
2020-11-24,26.17142857142857
2020-12-01,14.562637362637362
2020-12-08,2.1538461538461537
2020-12-15,43.78241758241758
2020-12-22,8.331868131868132
2020-12-29,4.1483974358974365
2021-01-07,5.195604395604396
2021-01-14,0.1714285714285714
2021-01-21,1.5309523809523806
2021-01-28,0.980952380952381
2021-02-04,0.007142857142857143
2021-02-11,0.10952380952380951
2021-02-18,0.1458874458874459
2021-02-25,0.7816017316017315
2021-03-03,2.607142857142857
2021-03-10,0.8166666666666668
2021-03-17,5.771428571428571
2021-03-24,11.885714285714286
2021-03-31,3.6987012987012986
2021-04-07,3.444155844155844
2021-04-14,2.7090909090909085
2021-04-21,11.27878787878788
2021-04-28,2.402597402597403
2021-05-05,8.314285714285715
2021-05-12,4.631168831168831
2021-05-19,3.785281385281386
2021-05-26,10.234686147186148
2021-06-02,9.348809523809523
2021-06-09,3.7333333333333334
2021-06-16,12.63061224489796
2021-06-23,9.636734693877552
2021-06-30,8.416326530612245
2021-07-07,7.714285714285714
2021-07-14,1.6285714285714286
2021-07-21,2.6632653061224487
2021-07-28,2.0877551020408163
2021-08-04,8.089795918367347
2021-08-11,16.583673469387755
2021-08-18,4.879591836734694
2021-08-25,8.338775510204082
2021-09-01,2.83265306122449
2021-09-08,2.343642072213501
2021-09-15,6.879120879120879
2021-09-22,5.54065934065934
2021-09-29,5.975824175824175
2021-10-06,0.14725274725274726
2021-10-13,8.323076923076922
2021-10-20,6.69010989010989
2021-10-27,7.582417582417583
2021-11-03,11.448351648351649
2021-11-10,23.51208791208791
2021-11-17,5.760714285714286
2021-11-24,19.496428571428574
2021-12-01,9.825
2021-12-08,7.6517857142857135
2021-12-15,20.68035714285714
2021-12-22,7.944642857142858
2021-12-29,37.786006181318676
2022-01-07,0.5872448979591837
2022-01-14,0.7517857142857143
2022-01-21,0.021428571428571432
2022-01-28,0.41250000000000003
2022-02-04,10.375
2022-02-11,9.991071428571429
2022-02-18,20.73392857142857
2022-02-25,48.36154761904762
2022-03-03,4.885714285714286
2022-03-10,1.7619047619047616
2022-03-17,18.58285714285714
2022-03-24,1.7542857142857142
2022-03-31,15.527619047619046
2022-04-07,6.390476190476191
2022-04-14,3.686904761904762
2022-04-21,2.085714285714286
2022-04-28,10.475
2022-05-05,11.492142857142856
2022-05-12,9.803809523809523
2022-05-19,1.09578231292517
2022-05-26,2.918001046572475
2022-06-02,5.143328100470958
2022-06-09,9.216326530612246
2022-06-16,14.077766875981164
2022-06-23,5.930357142857143
2022-06-30,7.047380952380952
2022-07-07,4.260952380952381
2022-07-14,3.476190476190476
2022-07-21,8.11047619047619
2022-07-28,10.52
2022-08-04,5.0902040816326535
2022-08-11,9.291836734693877
2022-08-18,7.06326530612245
2022-08-25,9.708163265306123
2022-09-01,5.497959183673468
2022-09-08,10.528707482993198
2022-09-15,7.807619047619048
2022-09-22,6.024761904761904
2022-09-29,14.422857142857143
2022-10-06,9.919319727891155
2022-10-13,4.661224489795919
2022-10-20,9.691836734693878
2022-10-27,18.044897959183675
2022-11-03,28.510714285714283
2022-11-10,13.398214285714285
2022-11-17,5.2625
2022-11-24,14.203571428571431
2022-12-01,23.530357142857145
2022-12-08,18.667857142857144
2022-12-15,59.426785714285714
2022-12-22,0.08392857142857144
2022-12-29,3.790625
2023-01-07,20.583928571428572
2023-01-14,7.982142857142857
2023-01-21,12.567857142857141
2023-01-28,17.410714285714285
2023-02-04,2.919642857142857
2023-02-11,4.926785714285714
2023-02-18,0.7910714285714285
2023-02-25,8.939285714285713
2023-03-03,1.6875
2023-03-10,0.24642857142857144
2023-03-17,0.019642857142857146
2023-03-24,0.1553571428571429
2023-03-31,5.596428571428571
2023-04-07,0.0125
2023-04-14,0.8464285714285714
2023-04-21,1.5125
2023-04-28,5.551785714285715
2023-05-05,6.6
2023-05-12,5.733928571428572
2023-05-19,3.2142857142857144
2023-05-26,4.708928571428572
2023-06-02,6.421428571428571
2023-06-09,7.9875
2023-06-16,5.371428571428572
2023-06-23,8.601785714285715
2023-06-30,2.375
2023-07-07,11.625
2023-07-14,1.8214285714285714
2023-07-21,2.1303571428571426
2023-07-28,5.5874999999999995
2023-08-04,12.908928571428572
2023-08-11,5.4071428571428575
2023-08-18,11.450000000000001
2023-08-25,4.983928571428572
2023-09-01,7.328571428571428
2023-09-08,5.0946428571428575
2023-09-15,7.371428571428572
2023-09-22,9.37857142857143
2023-09-29,12.098214285714286
2023-10-06,6.58047619047619
2023-10-13,10.935238095238095
2023-10-20,9.746666666666668
2023-10-27,9.175238095238095
2023-11-03,2.1523809523809523
2023-11-10,9.203809523809523
2023-11-17,28.468095238095238
2023-11-24,35.90857142857143
2023-12-01,5.500238095238095
2023-12-08,32.00238095238095
2023-12-15,6.510595238095239
2023-12-22,59.65523809523809
2023-12-29,6.125446428571429
